# Iteration  RMSerrUS  RMSerrSS
   380   0.831710E-04   0.337458    
   381   0.832254E-04   0.336792    
   382   0.832793E-04   0.336128    
   383   0.833327E-04   0.335466    
   384   0.833856E-04   0.334804    
   385   0.834379E-04   0.334144    
   386   0.834897E-04   0.333486    
   387   0.835409E-04   0.332828    
   388   0.835917E-04   0.332172    
   389   0.836419E-04   0.331517    
   390   0.836915E-04   0.330864    
   391   0.837407E-04   0.330212    
   392   0.837893E-04   0.329561    
   393   0.838375E-04   0.328911    
   394   0.838851E-04   0.328263    
   395   0.839322E-04   0.327615    
   396   0.839788E-04   0.326970    
   397   0.840248E-04   0.326325    
   398   0.840704E-04   0.325682    
   399   0.841154E-04   0.325040    
   400   0.841600E-04   0.324399    
   401   0.842041E-04   0.323759    
   402   0.842476E-04   0.323121    
   403   0.842907E-04   0.322484    
   404   0.843332E-04   0.321849    
   405   0.843753E-04   0.321214    
   406   0.844168E-04   0.320581    
   407   0.844579E-04   0.319949    
   408   0.844985E-04   0.319318    
   409   0.845386E-04   0.318689    
   410   0.845782E-04   0.318060    
   411   0.846173E-04   0.317433    
   412   0.846559E-04   0.316808    
   413   0.846941E-04   0.316183    
   414   0.847318E-04   0.315560    
   415   0.847690E-04   0.314938    
   416   0.848057E-04   0.314317    
   417   0.848420E-04   0.313697    
   418   0.848777E-04   0.313079    
   419   0.849130E-04   0.312462    
   420   0.849479E-04   0.311846    
   421   0.849823E-04   0.311231    
   422   0.850162E-04   0.310617    
   423   0.850496E-04   0.310005    
   424   0.850826E-04   0.309394    
   425   0.851151E-04   0.308784    
   426   0.851472E-04   0.308175    
   427   0.851788E-04   0.307568    
   428   0.852099E-04   0.306962    
   429   0.852406E-04   0.306356    
   430   0.852708E-04   0.305753    
   431   0.853006E-04   0.305150    
   432   0.853300E-04   0.304548    
   433   0.853589E-04   0.303948    
   434   0.853873E-04   0.303349    
   435   0.854153E-04   0.302751    
   436   0.854429E-04   0.302154    
   437   0.854700E-04   0.301558    
   438   0.854967E-04   0.300964    
   439   0.855229E-04   0.300370    
   440   0.855487E-04   0.299778    
   441   0.855741E-04   0.299187    
   442   0.855990E-04   0.298598    
   443   0.856235E-04   0.298009    
   444   0.856476E-04   0.297421    
   445   0.856713E-04   0.296835    
   446   0.856945E-04   0.296250    
   447   0.857173E-04   0.295666    
   448   0.857397E-04   0.295083    
   449   0.857616E-04   0.294501    
   450   0.857832E-04   0.293921    
   451   0.858043E-04   0.293341    
   452   0.858250E-04   0.292763    
   453   0.858453E-04   0.292186    
   454   0.858652E-04   0.291610    
   455   0.858846E-04   0.291035    
   456   0.859037E-04   0.290461    
   457   0.859223E-04   0.289889    
   458   0.859406E-04   0.289317    
   459   0.859584E-04   0.288747    
   460   0.859758E-04   0.288178    
   461   0.859928E-04   0.287610    
   462   0.860094E-04   0.287043    
   463   0.860257E-04   0.286477    
   464   0.860415E-04   0.285912    
   465   0.860569E-04   0.285349    
   466   0.860719E-04   0.284786    
   467   0.860866E-04   0.284225    
   468   0.861008E-04   0.283664    
   469   0.861147E-04   0.283105    
   470   0.861281E-04   0.282547    
   471   0.861412E-04   0.281990    
   472   0.861539E-04   0.281434    
   473   0.861662E-04   0.280879    
   474   0.861781E-04   0.280326    
   475   0.861897E-04   0.279773    
   476   0.862008E-04   0.279222    
   477   0.862116E-04   0.278671    
   478   0.862220E-04   0.278122    
   479   0.862320E-04   0.277573    
   480   0.862417E-04   0.277026    
   481   0.862510E-04   0.276480    
   482   0.862599E-04   0.275935    
   483   0.862684E-04   0.275391    
   484   0.862766E-04   0.274848    
   485   0.862844E-04   0.274306    
   486   0.862918E-04   0.273766    
   487   0.862989E-04   0.273226    
   488   0.863056E-04   0.272687    
   489   0.863119E-04   0.272150    
   490   0.863179E-04   0.271613    
   491   0.863235E-04   0.271078    
   492   0.863288E-04   0.270544    
   493   0.863337E-04   0.270010    
   494   0.863382E-04   0.269478    
   495   0.863424E-04   0.268947    
   496   0.863463E-04   0.268417    
   497   0.863498E-04   0.267887    
   498   0.863529E-04   0.267359    
   499   0.863557E-04   0.266832    
   500   0.863582E-04   0.266306    
   501   0.863603E-04   0.265781    
   502   0.863621E-04   0.265257    
   503   0.863635E-04   0.264734    
   504   0.863646E-04   0.264213    
   505   0.863653E-04   0.263692    
   506   0.863657E-04   0.263172    
   507   0.863658E-04   0.262653    
   508   0.863655E-04   0.262135    
   509   0.863649E-04   0.261619    
   510   0.863639E-04   0.261103    
   511   0.863627E-04   0.260588    
   512   0.863611E-04   0.260074    
   513   0.863591E-04   0.259562    
   514   0.863569E-04   0.259050    
   515   0.863543E-04   0.258539    
   516   0.863514E-04   0.258030    
   517   0.863481E-04   0.257521    
   518   0.863446E-04   0.257013    
   519   0.863407E-04   0.256507    
   520   0.863365E-04   0.256001    
   521   0.863320E-04   0.255496    
   522   0.863271E-04   0.254993    
   523   0.863220E-04   0.254490    
   524   0.863165E-04   0.253988    
   525   0.863107E-04   0.253488    
   526   0.863046E-04   0.252988    
   527   0.862982E-04   0.252489    
   528   0.862915E-04   0.251991    
   529   0.862845E-04   0.251495    
   530   0.862771E-04   0.250999    
   531   0.862695E-04   0.250504    
   532   0.862615E-04   0.250010    
   533   0.862533E-04   0.249517    
   534   0.862447E-04   0.249026    
   535   0.862359E-04   0.248535    
   536   0.862267E-04   0.248045    
   537   0.862173E-04   0.247556    
   538   0.862075E-04   0.247068    
   539   0.861975E-04   0.246581    
   540   0.861871E-04   0.246095    
   541   0.861765E-04   0.245609    
   542   0.861656E-04   0.245125    
   543   0.861543E-04   0.244642    
   544   0.861428E-04   0.244160    
   545   0.861310E-04   0.243678    
   546   0.861189E-04   0.243198    
   547   0.861065E-04   0.242719    
   548   0.860939E-04   0.242240    
   549   0.860809E-04   0.241763    
   550   0.860677E-04   0.241286    
   551   0.860542E-04   0.240810    
   552   0.860404E-04   0.240336    
   553   0.860263E-04   0.239862    
   554   0.860119E-04   0.239389    
   555   0.859973E-04   0.238917    
   556   0.859824E-04   0.238446    
   557   0.859672E-04   0.237976    
   558   0.859517E-04   0.237507    
   559   0.859360E-04   0.237039    
   560   0.859200E-04   0.236572    
   561   0.859037E-04   0.236105    
   562   0.858872E-04   0.235640    
   563   0.858703E-04   0.235175    
   564   0.858533E-04   0.234712    
   565   0.858359E-04   0.234249    
   566   0.858183E-04   0.233787    
   567   0.858004E-04   0.233326    
   568   0.857823E-04   0.232866    
   569   0.857639E-04   0.232407    
   570   0.857452E-04   0.231949    
   571   0.857263E-04   0.231492    
   572   0.857071E-04   0.231035    
   573   0.856877E-04   0.230580    
   574   0.856680E-04   0.230125    
   575   0.856480E-04   0.229672    
   576   0.856278E-04   0.229219    
   577   0.856073E-04   0.228767    
   578   0.855866E-04   0.228316    
   579   0.855656E-04   0.227866    
   580   0.855444E-04   0.227417    
   581   0.855230E-04   0.226969    
   582   0.855013E-04   0.226521    
   583   0.854793E-04   0.226075    
   584   0.854571E-04   0.225629    
   585   0.854346E-04   0.225184    
   586   0.854120E-04   0.224740    
   587   0.853890E-04   0.224297    
   588   0.853658E-04   0.223855    
   589   0.853424E-04   0.223414    
   590   0.853188E-04   0.222973    
   591   0.852949E-04   0.222534    
   592   0.852707E-04   0.222095    
   593   0.852464E-04   0.221657    
   594   0.852218E-04   0.221220    
   595   0.851969E-04   0.220784    
   596   0.851718E-04   0.220349    
   597   0.851465E-04   0.219915    
   598   0.851210E-04   0.219481    
   599   0.850952E-04   0.219048    
   600   0.850692E-04   0.218617    
   601   0.850430E-04   0.218186    
   602   0.850166E-04   0.217756    
   603   0.849899E-04   0.217326    
   604   0.849630E-04   0.216898    
   605   0.849359E-04   0.216470    
   606   0.849085E-04   0.216044    
   607   0.848809E-04   0.215618    
   608   0.848531E-04   0.215193    
   609   0.848251E-04   0.214768    
   610   0.847969E-04   0.214345    
   611   0.847684E-04   0.213922    
   612   0.847398E-04   0.213501    
   613   0.847109E-04   0.213080    
   614   0.846818E-04   0.212660    
   615   0.846525E-04   0.212241    
   616   0.846229E-04   0.211822    
   617   0.845932E-04   0.211405    
   618   0.845632E-04   0.210988    
   619   0.845331E-04   0.210572    
   620   0.845027E-04   0.210157    
   621   0.844721E-04   0.209743    
   622   0.844413E-04   0.209329    
   623   0.844103E-04   0.208916    
   624   0.843791E-04   0.208505    
   625   0.843477E-04   0.208094    
   626   0.843161E-04   0.207683    
   627   0.842843E-04   0.207274    
   628   0.842523E-04   0.206865    
   629   0.842200E-04   0.206458    
   630   0.841876E-04   0.206051    
   631   0.841550E-04   0.205644    
   632   0.841222E-04   0.205239    
   633   0.840892E-04   0.204834    
   634   0.840559E-04   0.204431    
   635   0.840225E-04   0.204028    
   636   0.839889E-04   0.203625    
   637   0.839551E-04   0.203224    
   638   0.839211E-04   0.202823    
   639   0.838870E-04   0.202424    
   640   0.838526E-04   0.202024    
   641   0.838180E-04   0.201626    
   642   0.837833E-04   0.201229    
   643   0.837483E-04   0.200832    
   644   0.837132E-04   0.200436    
   645   0.836779E-04   0.200041    
   646   0.836423E-04   0.199647    
   647   0.836067E-04   0.199253    
   648   0.835708E-04   0.198860    
   649   0.835347E-04   0.198468    
   650   0.834985E-04   0.198077    
   651   0.834621E-04   0.197687    
   652   0.834255E-04   0.197297    
   653   0.833887E-04   0.196908    
   654   0.833517E-04   0.196520    
   655   0.833146E-04   0.196132    
   656   0.832772E-04   0.195746    
   657   0.832397E-04   0.195360    
   658   0.832021E-04   0.194975    
   659   0.831642E-04   0.194590    
   660   0.831262E-04   0.194207    
   661   0.830880E-04   0.193824    
   662   0.830496E-04   0.193442    
   663   0.830111E-04   0.193060    
   664   0.829724E-04   0.192680    
   665   0.829335E-04   0.192300    
   666   0.828945E-04   0.191921    
   667   0.828552E-04   0.191543    
   668   0.828159E-04   0.191165    
   669   0.827763E-04   0.190788    
   670   0.827366E-04   0.190412    
   671   0.826967E-04   0.190037    
   672   0.826567E-04   0.189662    
   673   0.826164E-04   0.189288    
   674   0.825761E-04   0.188915    
   675   0.825355E-04   0.188543    
   676   0.824948E-04   0.188171    
   677   0.824540E-04   0.187800    
   678   0.824130E-04   0.187430    
   679   0.823718E-04   0.187060    
   680   0.823304E-04   0.186692    
   681   0.822890E-04   0.186324    
   682   0.822473E-04   0.185956    
   683   0.822055E-04   0.185590    
   684   0.821635E-04   0.185224    
   685   0.821214E-04   0.184859    
   686   0.820792E-04   0.184494    
   687   0.820367E-04   0.184131    
   688   0.819942E-04   0.183768    
