# Iteration  RMSerrUS  RMSerrSS
   296   0.256354E-04   0.533306    
   297   0.256967E-04   0.532779    
   298   0.257578E-04   0.532254    
   299   0.258187E-04   0.531729    
   300   0.258795E-04   0.531204    
   301   0.259401E-04   0.530680    
   302   0.260006E-04   0.530156    
   303   0.260610E-04   0.529633    
   304   0.261212E-04   0.529111    
   305   0.261813E-04   0.528589    
   306   0.262412E-04   0.528067    
   307   0.263010E-04   0.527546    
   308   0.263606E-04   0.527026    
   309   0.264201E-04   0.526506    
   310   0.264795E-04   0.525986    
   311   0.265387E-04   0.525467    
   312   0.265978E-04   0.524949    
   313   0.266567E-04   0.524431    
   314   0.267155E-04   0.523913    
   315   0.267741E-04   0.523397    
   316   0.268326E-04   0.522880    
   317   0.268910E-04   0.522364    
   318   0.269492E-04   0.521849    
   319   0.270073E-04   0.521334    
   320   0.270652E-04   0.520820    
   321   0.271230E-04   0.520306    
   322   0.271806E-04   0.519792    
   323   0.272382E-04   0.519280    
   324   0.272955E-04   0.518767    
   325   0.273528E-04   0.518255    
   326   0.274099E-04   0.517744    
   327   0.274668E-04   0.517233    
   328   0.275236E-04   0.516723    
   329   0.275803E-04   0.516213    
   330   0.276368E-04   0.515704    
   331   0.276932E-04   0.515195    
   332   0.277495E-04   0.514687    
   333   0.278056E-04   0.514179    
   334   0.278616E-04   0.513672    
   335   0.279175E-04   0.513165    
   336   0.279732E-04   0.512658    
   337   0.280288E-04   0.512153    
   338   0.280842E-04   0.511647    
   339   0.281395E-04   0.511142    
   340   0.281947E-04   0.510638    
   341   0.282497E-04   0.510134    
   342   0.283046E-04   0.509631    
   343   0.283593E-04   0.509128    
   344   0.284139E-04   0.508626    
   345   0.284684E-04   0.508124    
   346   0.285228E-04   0.507623    
   347   0.285770E-04   0.507122    
   348   0.286311E-04   0.506622    
   349   0.286850E-04   0.506122    
   350   0.287388E-04   0.505622    
   351   0.287925E-04   0.505123    
   352   0.288461E-04   0.504625    
   353   0.288995E-04   0.504127    
   354   0.289527E-04   0.503630    
   355   0.290059E-04   0.503133    
   356   0.290589E-04   0.502637    
   357   0.291118E-04   0.502141    
   358   0.291645E-04   0.501645    
   359   0.292171E-04   0.501150    
   360   0.292696E-04   0.500656    
   361   0.293220E-04   0.500162    
   362   0.293742E-04   0.499668    
   363   0.294263E-04   0.499175    
   364   0.294782E-04   0.498683    
   365   0.295300E-04   0.498191    
   366   0.295817E-04   0.497699    
   367   0.296333E-04   0.497208    
   368   0.296847E-04   0.496718    
   369   0.297360E-04   0.496228    
   370   0.297872E-04   0.495738    
   371   0.298382E-04   0.495249    
   372   0.298891E-04   0.494760    
   373   0.299399E-04   0.494272    
   374   0.299906E-04   0.493784    
   375   0.300411E-04   0.493297    
   376   0.300915E-04   0.492811    
   377   0.301418E-04   0.492324    
   378   0.301919E-04   0.491839    
   379   0.302419E-04   0.491353    
   380   0.302918E-04   0.490869    
   381   0.303415E-04   0.490384    
   382   0.303912E-04   0.489900    
   383   0.304407E-04   0.489417    
   384   0.304900E-04   0.488934    
   385   0.305393E-04   0.488452    
   386   0.305884E-04   0.487970    
   387   0.306374E-04   0.487488    
   388   0.306862E-04   0.487007    
   389   0.307350E-04   0.486527    
   390   0.307836E-04   0.486047    
   391   0.308321E-04   0.485567    
   392   0.308804E-04   0.485088    
   393   0.309287E-04   0.484610    
   394   0.309768E-04   0.484132    
   395   0.310247E-04   0.483654    
   396   0.310726E-04   0.483177    
   397   0.311203E-04   0.482700    
   398   0.311679E-04   0.482224    
   399   0.312154E-04   0.481748    
   400   0.312628E-04   0.481273    
   401   0.313100E-04   0.480798    
   402   0.313571E-04   0.480323    
   403   0.314041E-04   0.479850    
   404   0.314510E-04   0.479376    
   405   0.314977E-04   0.478903    
   406   0.315444E-04   0.478431    
