# Iteration  RMSerrUS  RMSerrSS
   307   0.630693       0.630693    
   308   0.630438       0.630438    
   309   0.630182       0.630182    
   310   0.629927       0.629927    
   311   0.629671       0.629671    
   312   0.629416       0.629416    
   313   0.629161       0.629161    
   314   0.628906       0.628906    
   315   0.628651       0.628651    
   316   0.628396       0.628396    
   317   0.628142       0.628142    
   318   0.627887       0.627887    
   319   0.627632       0.627632    
   320   0.627378       0.627378    
   321   0.627124       0.627124    
   322   0.626870       0.626870    
   323   0.626615       0.626615    
   324   0.626361       0.626361    
   325   0.626108       0.626108    
   326   0.625854       0.625854    
   327   0.625600       0.625600    
   328   0.625347       0.625347    
   329   0.625093       0.625093    
   330   0.624840       0.624840    
   331   0.624586       0.624586    
   332   0.624333       0.624333    
   333   0.624080       0.624080    
   334   0.623827       0.623827    
   335   0.623574       0.623574    
   336   0.623322       0.623322    
   337   0.623069       0.623069    
   338   0.622816       0.622816    
   339   0.622564       0.622564    
   340   0.622312       0.622312    
   341   0.622059       0.622059    
   342   0.621807       0.621807    
   343   0.621555       0.621555    
   344   0.621303       0.621303    
   345   0.621051       0.621051    
   346   0.620800       0.620800    
   347   0.620548       0.620548    
   348   0.620296       0.620296    
   349   0.620045       0.620045    
   350   0.619794       0.619794    
   351   0.619542       0.619542    
   352   0.619291       0.619291    
   353   0.619040       0.619040    
   354   0.618789       0.618789    
   355   0.618539       0.618539    
   356   0.618288       0.618288    
   357   0.618037       0.618037    
   358   0.617787       0.617787    
   359   0.617536       0.617536    
   360   0.617286       0.617286    
   361   0.617036       0.617036    
   362   0.616786       0.616786    
   363   0.616536       0.616536    
   364   0.616286       0.616286    
   365   0.616036       0.616036    
   366   0.615786       0.615786    
   367   0.615537       0.615537    
   368   0.615287       0.615287    
   369   0.615038       0.615038    
   370   0.614789       0.614789    
   371   0.614539       0.614539    
   372   0.614290       0.614290    
   373   0.614041       0.614041    
   374   0.613792       0.613792    
   375   0.613544       0.613544    
   376   0.613295       0.613295    
   377   0.613046       0.613046    
   378   0.612798       0.612798    
   379   0.612549       0.612549    
   380   0.612301       0.612301    
   381   0.612053       0.612053    
   382   0.611805       0.611805    
   383   0.611557       0.611557    
   384   0.611309       0.611309    
   385   0.611061       0.611061    
   386   0.610813       0.610813    
   387   0.610566       0.610566    
   388   0.610318       0.610318    
   389   0.610071       0.610071    
   390   0.609824       0.609824    
   391   0.609577       0.609577    
   392   0.609329       0.609329    
   393   0.609083       0.609083    
   394   0.608836       0.608836    
   395   0.608589       0.608589    
   396   0.608342       0.608342    
   397   0.608096       0.608096    
   398   0.607849       0.607849    
   399   0.607603       0.607603    
   400   0.607356       0.607356    
   401   0.607110       0.607110    
   402   0.606864       0.606864    
   403   0.606618       0.606618    
   404   0.606372       0.606372    
   405   0.606127       0.606127    
   406   0.605881       0.605881    
   407   0.605635       0.605635    
   408   0.605390       0.605390    
   409   0.605144       0.605144    
   410   0.604899       0.604899    
   411   0.604654       0.604654    
   412   0.604409       0.604409    
   413   0.604164       0.604164    
   414   0.603919       0.603919    
   415   0.603674       0.603674    
   416   0.603429       0.603429    
   417   0.603185       0.603185    
   418   0.602940       0.602940    
   419   0.602696       0.602696    
   420   0.602452       0.602452    
   421   0.602207       0.602207    
   422   0.601963       0.601963    
   423   0.601719       0.601719    
   424   0.601475       0.601475    
   425   0.601232       0.601232    
   426   0.600988       0.600988    
   427   0.600744       0.600744    
   428   0.600501       0.600501    
   429   0.600257       0.600257    
   430   0.600014       0.600014    
   431   0.599771       0.599771    
   432   0.599528       0.599528    
   433   0.599285       0.599285    
   434   0.599042       0.599042    
   435   0.598799       0.598799    
   436   0.598556       0.598556    
   437   0.598314       0.598314    
   438   0.598071       0.598071    
   439   0.597829       0.597829    
   440   0.597587       0.597587    
   441   0.597344       0.597344    
   442   0.597102       0.597102    
   443   0.596860       0.596860    
   444   0.596618       0.596618    
   445   0.596376       0.596376    
   446   0.596135       0.596135    
   447   0.595893       0.595893    
   448   0.595651       0.595651    
   449   0.595410       0.595410    
   450   0.595169       0.595169    
   451   0.594927       0.594927    
   452   0.594686       0.594686    
   453   0.594445       0.594445    
   454   0.594204       0.594204    
   455   0.593963       0.593963    
   456   0.593723       0.593723    
   457   0.593482       0.593482    
   458   0.593241       0.593241    
   459   0.593001       0.593001    
   460   0.592761       0.592761    
   461   0.592520       0.592520    
   462   0.592280       0.592280    
   463   0.592040       0.592040    
   464   0.591800       0.591800    
   465   0.591560       0.591560    
   466   0.591321       0.591321    
   467   0.591081       0.591081    
   468   0.590841       0.590841    
   469   0.590602       0.590602    
   470   0.590362       0.590362    
   471   0.590123       0.590123    
   472   0.589884       0.589884    
   473   0.589645       0.589645    
   474   0.589406       0.589406    
   475   0.589167       0.589167    
   476   0.588928       0.588928    
   477   0.588689       0.588689    
   478   0.588451       0.588451    
   479   0.588212       0.588212    
   480   0.587974       0.587974    
   481   0.587735       0.587735    
   482   0.587497       0.587497    
   483   0.587259       0.587259    
   484   0.587021       0.587021    
   485   0.586783       0.586783    
   486   0.586545       0.586545    
   487   0.586308       0.586308    
   488   0.586070       0.586070    
   489   0.585832       0.585832    
   490   0.585595       0.585595    
   491   0.585357       0.585357    
   492   0.585120       0.585120    
   493   0.584883       0.584883    
   494   0.584646       0.584646    
   495   0.584409       0.584409    
   496   0.584172       0.584172    
   497   0.583935       0.583935    
   498   0.583699       0.583699    
   499   0.583462       0.583462    
   500   0.583226       0.583226    
   501   0.582989       0.582989    
   502   0.582753       0.582753    
   503   0.582517       0.582517    
   504   0.582281       0.582281    
   505   0.582044       0.582044    
   506   0.581809       0.581809    
   507   0.581573       0.581573    
   508   0.581337       0.581337    
   509   0.581101       0.581101    
